id,date,winner,loser,elo_winner,elo_loser,first_hand,conceded,record
207796829,2021-10-09 20:37:00,Lthlorien,funerie,170,100,Lthlorien,False,y4r4y4r3y3r4y3r5y5r2y5r2y5r5y2r3y2r3y2r2y4r2y2r5y3r5y1r3y1r3y2r3y2r1y1r1y1r1y1r1y4r4y5r1y1r5y1r1y1r2y3r1y4r4y5r4y4r4y5r4y3r4y5r2y4r2y4r2y3r2y3r2y2r5y2
207794707,2021-10-09 20:29:00,Lthlorien,funerie,162,100,funerie,False,r4y4r4y4r5y4r3y4r3y4r5y4r3y2r5y2r2y3r2y2r2y3r5y2r4y2r3y2r3y5r3y5r4y5r2y5r2y5r4y4r2y5r4y5r2y5r5y2r5y4r2y1r2y1r1y2r2y1r5y1r2y1r5y1r5y1r1y1r5y1r5y2
207791674,2021-10-09 20:10:00,Lthlorien,gradamical,154,1,gradamical,False,y4r5y4r5y4r5y4r4y5r3y3r2y3r4y5r5y5r2y2r2y4r3y3r3y3r1y2r1y2r1y3r1y3r1y3r2y4r2y4r2y4r3y2r4y4r1y4r4y4r4y4r3y1r3y4r4y1r4y1r2y4r2y4r4y4r3y4r3y5r5y5r4y5r4y5r1
207799413,2021-10-09 20:02:00,Lthlorien,gradamical,148,1,gradamical,False,r3y4r3y4r3y1r4y1r4y2r1y2r2y3r2y3r2y4r3y4r3y5r2y4r3y4r2y4r2y4r2y4r2y3r2y3r2y3r2y2r1y3r1y4r4y5r4y5r4y5r4y5r4y5r4y5r4y5r5y1r5y1r1y1r1y5r1y1r1y1
207785537,2021-10-09 19:19:00,SuNing,QmeiQ,125,38,QmeiQ,False,y5r4y3r4y3r3y5r3y3r3y5r2y4r2y3r5y4r5y3r5y3r5y1r5y1r5y2r2y2r2y2r2y2r2y4r2y5r3y4r3y1r3y4r5y2r1y2r1y2r1y2r1y4r1y4r1y4r1y4r1
207784394,2021-10-09 19:13:00,QmeiQ,SuNing,38,100,SuNing,False,y2r1y1r1y1r5y1r4y1r4y1r1y4r5y1r1y3r2y4r3y4r4y5r4y5r3y3r4y5r3y3r5y5r5y3r5y2r1y2r2y3r2y3r5y1r4y3r3y4r3y4r5y4r3y4r1y2r1y5r1y4r1y4r1y4r2y5r1y4r1y1r2y1r1
207780545,2021-10-09 19:11:00,Lthlorien,funerie,141,100,Lthlorien,False,y4r5y4r5y4r4y5r3y5r4y5r3y4r3y4r5y1r5y1r5y1r5y1r5y5r1y1r1y2r2y3r2y3r2y4r2y1r2y2r3y2r4y5r4y5r2y5r4y3r3y2r3y2r3y2r3y2r1y1r1y3r4y3r4y3r4y3r2y4r2y2
207777221,2021-10-09 17:33:00,Lthlorien,MCLERG02,132,31,MCLERG02,True,y1r3y4r5y2r5y2r2y2r5y2r3y2r5y2r4y4r3y4r5y4r4y3r4y3r5y3r2y3r2y3r4y3r4y5r4y5r4y5r4y5r4y5r3y4r2y4r2y5r5y2r1y1r1y1r1y1r2y2r2y2r2y2r3y4r1y2r3y1r1
207765599,2021-10-09 17:29:00,Lthlorien,MCLERG02,125,31,MCLERG02,False,r1y4r1y4r1y4r1y4r4y4r4y4r4y5r1y5r1y5r4y5r4y5r4y5r1y5r4y5r4y5r4y3r1y3r1y3r2y2r2y2r2y4r2y4r5y4r5y1r3y1r3y2r3y2r3y2r3y1r3y2r5y1r2y1r2y1r2y1r2y2r2y2r2y1
207764617,2021-10-09 17:11:00,NCDM,Lthlorien,155,117,NCDM,False,y4r5y4r5y4r5y4r4y5r3y2r3y2r3y5r4y2r4y2r5y2r1y5r4y2r4y4r4y4r1y4r3y4r3y4r3y4r5y5r5y4r5y4r5y4r1y3r2y1r1y5r1y4r2y1r5y1r5y1r5y1r1y3r1y1r1y1r1y1r1y4r1y2r1y3r5y3r4y3r1y3r4y3r4y3r1y3r1y3r1y2
